filename,iterations,moves,solved,H/V,types,dimension
board0.csv,132,-,no,5:8,0:7:6:0:0,6
board1.csv,147,-,no,7:7,0:10:4:0:0,6
board10.csv,602,-,no,7:6,0:7:6:0:0,6
board100.csv,49,-,no,9:5,0:10:4:0:0,6
board101.csv,62,-,no,6:8,0:10:4:0:0,6
board102.csv,136,-,no,9:4,0:7:6:0:0,6
board103.csv,128,-,no,7:7,0:10:4:0:0,6
board104.csv,88,-,no,6:7,0:7:6:0:0,6
board105.csv,18,-,no,5:8,0:7:6:0:0,6
board106.csv,263,6,yes,6:8,0:10:4:0:0,6
board107.csv,63,-,no,9:5,0:10:4:0:0,6
board108.csv,98,-,no,9:5,0:10:4:0:0,6
board109.csv,699,-,no,8:5,0:7:6:0:0,6
board11.csv,10,-,no,6:6,0:4:8:0:0,6
board110.csv,512,-,no,6:7,0:7:6:0:0,6
board111.csv,161,8,yes,8:5,0:7:6:0:0,6
board112.csv,106,-,no,8:5,0:7:6:0:0,6
board113.csv,136,-,no,8:5,0:7:6:0:0,6
board114.csv,39,-,no,8:6,0:10:4:0:0,6
board115.csv,390,-,no,6:8,0:10:4:0:0,6
board116.csv,22,-,no,8:6,0:10:4:0:0,6
board117.csv,77,-,no,7:7,0:10:4:0:0,6
board118.csv,180,-,no,10:4,0:10:4:0:0,6
board119.csv,528,-,no,6:7,0:7:6:0:0,6
board12.csv,152,-,no,8:6,0:10:4:0:0,6
board120.csv,274,-,no,8:5,0:7:6:0:0,6
board121.csv,102,-,no,8:5,0:7:6:0:0,6
board122.csv,92,-,no,8:5,0:7:6:0:0,6
board123.csv,97,-,no,7:6,0:7:6:0:0,6
board124.csv,10,-,no,5:9,0:10:4:0:0,6
board125.csv,101,-,no,7:7,0:10:4:0:0,6
board126.csv,42,-,no,8:5,0:7:6:0:0,6
board127.csv,65,-,no,8:4,0:4:8:0:0,6
board128.csv,124,-,no,9:4,0:7:6:0:0,6
board129.csv,109,-,no,10:5,0:13:2:0:0,6
board13.csv,61,-,no,6:7,0:7:6:0:0,6
board130.csv,381,-,no,9:4,0:7:6:0:0,6
board131.csv,160,-,no,4:9,0:7:6:0:0,6
board132.csv,188,-,no,7:6,0:7:6:0:0,6
board133.csv,93,-,no,7:7,0:10:4:0:0,6
board134.csv,76,-,no,9:4,0:7:6:0:0,6
board135.csv,25,-,no,8:5,0:7:6:0:0,6
board136.csv,20,-,no,7:7,0:10:4:0:0,6
board137.csv,114,-,no,10:3,0:7:6:0:0,6
board138.csv,12,-,no,7:6,0:7:6:0:0,6
board139.csv,190,6,yes,9:6,0:13:2:0:0,6
board14.csv,331,9,yes,7:6,0:7:6:0:0,6
board140.csv,83,7,yes,6:7,0:7:6:0:0,6
board141.csv,188,-,no,7:7,0:10:4:0:0,6
board142.csv,293,-,no,7:7,0:10:4:0:0,6
board143.csv,6,-,no,6:7,0:7:6:0:0,6
board144.csv,9,-,no,7:5,0:4:8:0:0,6
board145.csv,52,-,no,7:6,0:7:6:0:0,6
board146.csv,4,-,no,7:6,0:7:6:0:0,6
board147.csv,233,-,no,6:8,0:10:4:0:0,6
board148.csv,13,-,no,6:7,0:7:6:0:0,6
board149.csv,228,-,no,8:5,0:7:6:0:0,6
board15.csv,6,-,no,6:8,0:10:4:0:0,6
board150.csv,566,-,no,9:4,0:7:6:0:0,6
board151.csv,27,-,no,7:5,0:4:8:0:0,6
board152.csv,17,-,no,8:5,0:7:6:0:0,6
board153.csv,65,-,no,8:4,0:4:8:0:0,6
board154.csv,59,-,no,6:7,0:7:6:0:0,6
board155.csv,545,10,yes,8:6,0:10:4:0:0,6
board156.csv,390,-,no,7:7,0:10:4:0:0,6
board157.csv,56,-,no,8:5,0:7:6:0:0,6
board158.csv,481,-,no,5:8,0:7:6:0:0,6
board159.csv,45,5,yes,6:6,0:4:8:0:0,6
board16.csv,100,-,no,5:8,0:7:6:0:0,6
board160.csv,50,-,no,7:5,0:4:8:0:0,6
board161.csv,223,-,no,8:6,0:10:4:0:0,6
board162.csv,294,-,no,8:5,0:7:6:0:0,6
board163.csv,559,-,no,7:6,0:7:6:0:0,6
board164.csv,12,-,no,10:3,0:7:6:0:0,6
board165.csv,16,-,no,6:7,0:7:6:0:0,6
board166.csv,399,-,no,10:4,0:10:4:0:0,6
board167.csv,18,-,no,11:3,0:10:4:0:0,6
