filename,iterations,moves,solved,H/V,types,dimension
board-1.csv,168,-,no,6:2,0:4:1:3:0,6
board-2.csv,184,-,no,4:5,0:5:3:1:0,6
board0.csv,154,5,yes,5:3,0:4:1:3:0,6
board1.csv,444,-,no,4:4,0:3:3:2:0,6
board10.csv,388,-,no,8:1,0:5:3:1:0,6
board100.csv,129,-,no,2:6,0:3:3:2:0,6
board101.csv,345,10,yes,3:5,0:3:3:2:0,6
board102.csv,264,6,yes,4:4,0:3:3:2:0,6
board103.csv,416,9,yes,4:4,0:3:3:2:0,6
board104.csv,72,-,no,3:4,0:2:1:4:0,6
board105.csv,396,-,no,6:2,0:4:1:3:0,6
board106.csv,199,5,yes,6:3,0:5:3:1:0,6
board107.csv,1430,-,no,3:6,0:5:3:1:0,6
board108.csv,2448,-,no,6:2,0:2:5:1:0,6
board109.csv,188,-,no,4:4,0:3:3:2:0,6
board11.csv,291,10,yes,5:4,0:5:3:1:0,6
board110.csv,24,-,no,4:4,0:3:3:2:0,6
board111.csv,2622,-,no,4:5,0:5:3:1:0,6
board112.csv,910,-,no,5:3,0:3:3:2:0,6
board113.csv,89,5,yes,6:2,0:3:3:2:0,6
board114.csv,65,7,yes,4:4,0:4:1:3:0,6
board115.csv,25,4,yes,4:5,0:5:3:1:0,6
board116.csv,897,7,yes,6:3,0:5:3:1:0,6
board117.csv,24,-,no,4:3,0:2:1:4:0,6
board118.csv,870,-,no,5:4,0:5:3:1:0,6
board119.csv,740,-,no,6:2,0:4:1:3:0,6
board12.csv,2836,12,yes,3:6,0:5:3:1:0,6
board120.csv,39,-,no,3:4,0:1:3:3:0,6
board121.csv,2069,-,no,6:2,0:3:3:2:0,6
board122.csv,58,-,no,4:5,0:5:3:1:0,6
board123.csv,1767,11,yes,6:3,0:5:3:1:0,6
board124.csv,278,6,yes,6:2,0:4:1:3:0,6
board125.csv,42,-,no,4:4,0:3:3:2:0,6
board126.csv,64,7,yes,6:2,0:3:3:2:0,6
board127.csv,56,4,yes,6:2,0:3:3:2:0,6
board128.csv,27,4,yes,5:3,0:4:1:3:0,6
board129.csv,16,-,no,3:4,0:2:1:4:0,6
board13.csv,26,4,yes,5:4,0:6:1:2:0,6
board130.csv,93,-,no,4:3,0:1:3:3:0,6
board131.csv,89,8,yes,5:3,0:3:3:2:0,6
board132.csv,191,-,no,2:5,0:2:1:4:0,6
board133.csv,22,4,yes,5:3,0:4:1:3:0,6
board134.csv,282,-,no,4:4,0:4:1:3:0,6
board135.csv,8,-,no,7:2,0:5:3:1:0,6
board136.csv,724,-,no,5:4,0:6:1:2:0,6
board137.csv,163,-,no,4:4,0:3:3:2:0,6
board138.csv,127,5,yes,5:3,0:3:3:2:0,6
board139.csv,53,4,yes,4:5,0:6:1:2:0,6
board14.csv,98,4,yes,7:3,0:8:1:1:0,6
board140.csv,77,5,yes,5:3,0:4:1:3:0,6
board141.csv,2133,-,no,5:3,0:4:1:3:0,6
board142.csv,861,-,no,3:5,0:3:3:2:0,6
board143.csv,126,-,no,5:2,0:2:1:4:0,6
board144.csv,225,-,no,5:3,0:3:3:2:0,6
board145.csv,192,-,no,3:5,0:3:3:2:0,6
board146.csv,388,11,yes,4:3,0:1:3:3:0,6
board147.csv,1011,7,yes,7:2,0:6:1:2:0,6
board148.csv,31,4,yes,5:3,0:4:1:3:0,6
board149.csv,4944,-,no,7:2,0:6:1:2:0,6
board15.csv,33,4,yes,4:4,0:4:1:3:0,6
board150.csv,12,4,yes,6:2,0:3:3:2:0,6
board151.csv,224,-,no,3:6,0:6:1:2:0,6
board152.csv,1132,-,no,3:6,0:6:1:2:0,6
board153.csv,330,-,no,4:4,0:2:5:1:0,6
board154.csv,709,7,yes,4:5,0:6:1:2:0,6
board155.csv,526,11,yes,5:3,0:3:3:2:0,6
board156.csv,1233,9,yes,3:6,0:5:3:1:0,6
board157.csv,60,-,no,3:5,0:3:3:2:0,6
board158.csv,86,5,yes,5:3,0:3:3:2:0,6
