filename,iterations,moves,solved,H/V,types,dimension
board0.csv,10,3,yes,6:1,0:5:2:0:0,6
board1.csv,847,-,no,5:2,0:5:2:0:0,6
board10.csv,230,5,yes,4:3,0:5:2:0:0,6
board100.csv,568,8,yes,4:3,0:5:2:0:0,6
board101.csv,1481,-,no,5:2,0:5:2:0:0,6
board102.csv,825,7,yes,4:3,0:5:2:0:0,6
board103.csv,1181,8,yes,6:1,0:5:2:0:0,6
board104.csv,773,10,yes,3:3,0:2:4:0:0,6
board105.csv,249,-,no,3:3,0:2:4:0:0,6
board106.csv,71,4,yes,5:1,0:2:4:0:0,6
board107.csv,56,4,yes,5:1,0:2:4:0:0,6
board108.csv,12,3,yes,6:0,0:2:4:0:0,6
board109.csv,138,-,no,4:2,0:2:4:0:0,6
board11.csv,220,5,yes,6:1,0:5:2:0:0,6
board110.csv,61,4,yes,5:2,0:5:2:0:0,6
board111.csv,216,-,no,5:1,0:2:4:0:0,6
board112.csv,965,-,no,4:3,0:5:2:0:0,6
board113.csv,7,3,yes,5:2,0:5:2:0:0,6
board114.csv,3193,-,no,5:2,0:5:2:0:0,6
board115.csv,267,8,yes,4:3,0:5:2:0:0,6
board116.csv,372,6,yes,4:2,0:2:4:0:0,6
board117.csv,4680,9,yes,5:2,0:5:2:0:0,6
board118.csv,262,6,yes,3:4,0:5:2:0:0,6
board119.csv,69,4,yes,3:4,0:5:2:0:0,6
board12.csv,12,3,yes,4:3,0:5:2:0:0,6
board120.csv,108,-,no,3:4,0:5:2:0:0,6
board121.csv,55,4,yes,3:3,0:2:4:0:0,6
board122.csv,533,6,yes,4:3,0:5:2:0:0,6
board123.csv,87,4,yes,5:3,0:8:0:0:0,6
board124.csv,265,5,yes,4:2,0:2:4:0:0,6
board125.csv,100,5,yes,3:4,0:5:2:0:0,6
board126.csv,46,4,yes,5:2,0:5:2:0:0,6
board127.csv,182,6,yes,2:5,0:5:2:0:0,6
board128.csv,196,5,yes,4:3,0:5:2:0:0,6
board129.csv,397,9,yes,3:3,0:2:4:0:0,6
board13.csv,1830,8,yes,5:2,0:5:2:0:0,6
board130.csv,69,4,yes,4:3,0:5:2:0:0,6
board131.csv,337,-,no,2:4,0:2:4:0:0,6
board132.csv,13,5,yes,4:2,0:2:4:0:0,6
board133.csv,9,3,yes,2:5,0:5:2:0:0,6
board134.csv,854,8,yes,3:4,0:5:2:0:0,6
board135.csv,209,10,yes,5:2,0:5:2:0:0,6
board136.csv,12,3,yes,6:1,0:5:2:0:0,6
board137.csv,486,8,yes,4:2,0:2:4:0:0,6
board138.csv,144,14,yes,3:3,0:2:4:0:0,6
board139.csv,623,11,yes,2:4,0:2:4:0:0,6
board14.csv,515,6,yes,4:2,0:2:4:0:0,6
board140.csv,7,3,yes,5:2,0:5:2:0:0,6
board141.csv,10,3,yes,6:0,0:2:4:0:0,6
board142.csv,554,8,yes,4:3,0:5:2:0:0,6
board143.csv,530,13,yes,4:2,0:2:4:0:0,6
board144.csv,366,8,yes,4:2,0:2:4:0:0,6
board145.csv,13,4,yes,4:3,0:5:2:0:0,6
board146.csv,13,3,yes,6:1,0:5:2:0:0,6
board147.csv,9,3,yes,5:1,0:2:4:0:0,6
board148.csv,10,3,yes,7:0,0:5:2:0:0,6
board149.csv,11,3,yes,7:0,0:5:2:0:0,6
board15.csv,237,5,yes,4:3,0:5:2:0:0,6
board150.csv,132,5,yes,4:2,0:2:4:0:0,6
board151.csv,259,7,yes,3:3,0:2:4:0:0,6
board152.csv,111,5,yes,6:1,0:5:2:0:0,6
board153.csv,2154,-,no,3:4,0:5:2:0:0,6
board154.csv,64,-,no,4:2,0:2:4:0:0,6
board155.csv,273,5,yes,2:5,0:5:2:0:0,6
board156.csv,645,6,yes,2:5,0:5:2:0:0,6
board157.csv,847,9,yes,2:4,0:2:4:0:0,6
board158.csv,2774,13,yes,3:4,0:5:2:0:0,6
board159.csv,336,7,yes,4:2,0:2:4:0:0,6
board16.csv,1644,-,no,2:5,0:5:2:0:0,6
board160.csv,66,-,no,4:2,0:2:4:0:0,6
board161.csv,49,4,yes,2:5,0:5:2:0:0,6
board162.csv,390,8,yes,5:2,0:5:2:0:0,6
board163.csv,618,-,no,4:3,0:5:2:0:0,6
board164.csv,833,8,yes,3:3,0:2:4:0:0,6
board165.csv,67,4,yes,3:4,0:5:2:0:0,6
board166.csv,111,5,yes,3:4,0:5:2:0:0,6
board167.csv,39,4,yes,4:3,0:5:2:0:0,6
board168.csv,81,11,yes,2:4,0:2:4:0:0,6
board169.csv,158,5,yes,5:2,0:5:2:0:0,6
board17.csv,256,5,yes,5:2,0:5:2:0:0,6
board170.csv,73,5,yes,5:2,0:5:2:0:0,6
board171.csv,1276,12,yes,2:4,0:2:4:0:0,6
board172.csv,543,10,yes,2:4,0:2:4:0:0,6
board173.csv,189,5,yes,3:4,0:5:2:0:0,6
board174.csv,509,7,yes,3:4,0:5:2:0:0,6
board175.csv,2193,-,no,4:3,0:5:2:0:0,6
board176.csv,66,4,yes,2:5,0:5:2:0:0,6
board177.csv,42,4,yes,5:1,0:2:4:0:0,6
board178.csv,992,-,no,5:2,0:5:2:0:0,6
board179.csv,770,9,yes,2:4,0:2:4:0:0,6
board18.csv,672,7,yes,4:2,0:2:4:0:0,6
