board: 0 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 1 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 2 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 3 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 4 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 5 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 6 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 7 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 8 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 9 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 10 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 11 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 12 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 13 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 14 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 15 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 16 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 17 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 18 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 19 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 20 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 21 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 22 dimension: 6 filled tiles: 0
